,cost,title
0,"570,000원","
            아이패드 미니5 64GB LTE 미개봉 국내정품 판매합니다.
        "
1,"620,000원","
            아이패드미니5 64GB LTE 셀룰러 + 애플펜슬1세대 미개봉 팝니다. 
        "
2,"590,000원","
            [미개봉] 아이패드 미니5 64기가 실버 셀룰러/lte 미개봉 팝니다.
        "
3,"620,000원","
            아이패드미니 5 LTE 셀롤러 (미개봉 64g) 팝니다.(사진첨부)
        "
4,"560,000원","
            [ 미개봉 신품 ] 아이패드 미니5 64GB LTE 
        "
5,"530,000원","
            아이패드 미니5 64G 셀룰러(LTE) 실버색상 팝니다 (미개봉)
        "
6,"790,000원","
            미개봉 아이패드 미니 5세대 256GB LTE (골드)
        "
